iter	Logloss
0	0.6694476935
1	0.6513739825
2	0.6338409591
3	0.6188066908
4	0.6065982966
5	0.5939748617
6	0.5844756722
7	0.57434074
8	0.5661777697
9	0.5589011202
10	0.5516090932
11	0.5457031153
12	0.5399238127
13	0.5346689453
14	0.5289644293
15	0.5250830644
16	0.5211254617
17	0.5179477063
18	0.5141185648
19	0.5100545692
20	0.5067104296
21	0.5040034439
22	0.5010908664
23	0.4988942823
24	0.4968635748
25	0.4945488994
26	0.4923890155
27	0.4910469639
28	0.4895988095
29	0.4877889959
30	0.4856083205
31	0.4841575481
32	0.4822938259
33	0.4810709787
34	0.4801694329
35	0.4787070298
36	0.4777719439
37	0.4762421848
38	0.475020349
39	0.4741472966
40	0.4734675096
41	0.4725355991
42	0.4716436445
43	0.4706334928
44	0.4694849705
45	0.4686460085
46	0.4677943478
47	0.4672432389
48	0.4667842492
49	0.4656272182
50	0.4649020237
51	0.4645022325
52	0.4635905949
53	0.4632852171
54	0.4622407084
55	0.4618338281
56	0.4613122512
57	0.4607295311
58	0.4602784943
59	0.4598966155
60	0.4590610166
61	0.45817634
62	0.4577820277
63	0.457420228
64	0.4569710141
65	0.4562762836
66	0.4556674108
67	0.4553218877
