iter	Passed	Remaining
0	5	354
1	9	315
2	13	292
3	18	299
4	22	284
5	26	271
6	31	271
7	35	269
8	39	261
9	43	253
10	47	244
11	50	237
12	53	228
13	59	228
14	64	226
15	67	220
16	74	223
17	78	219
18	83	215
19	90	216
20	94	211
21	98	206
22	105	206
23	109	201
24	113	196
25	125	202
26	131	199
27	138	197
28	142	191
29	149	189
30	153	183
31	157	177
32	165	175
33	169	169
34	173	163
35	179	159
36	182	153
37	186	147
38	189	141
39	194	136
40	198	130
41	201	125
42	206	119
43	209	114
44	213	109
45	218	104
46	224	100
47	227	94
48	231	89
49	234	84
50	239	79
51	243	74
52	246	69
53	250	64
54	255	60
55	259	55
56	262	50
57	266	45
58	271	41
59	275	36
60	279	32
61	282	27
62	287	22
63	291	18
64	295	13
65	299	9
66	304	4
67	307	0
